# Searching for station nr  7150 in ghcnm.tavg.v3.qca v3.3.0.20161102
# PARIS/LE BOURGET    FRANCE    (FRANCE)
# coordinates:  48.80N,    2.50E,      53.0m (prob:   52m)
# WMO station code:  7150 PARIS/LE_BOURGET              
# tavg [Celsius] daily mean temperature (adjusted) from GHCN-M v3.3.0.20161102
 1841    1.7    1.7    8.3    9.6   16.5   14.6   15.7   17.0   17.7   10.6    6.0    4.7
 1842   -2.2    3.8    7.5    9.4   13.8   19.5   18.4   21.6   14.7    7.7    4.6    3.3
 1843    3.7    2.9    7.2    9.7   13.2   15.0   17.2   18.5   17.0   10.6    6.6    3.6
 1844    2.1    1.8    6.1   11.9   12.0   16.8   16.4   14.7   15.2   10.0    6.3   -1.4
 1845    1.6   -0.2    0.7   10.4   10.2   16.9   16.2   15.1   14.4    9.7    7.4    4.8
 1846    4.4    5.8    6.9    9.3   13.1   20.1   19.9   19.2   16.9   11.0    5.3   -1.2
 1847    1.7    2.3    4.9    7.4   14.9   14.9   19.7   18.0   13.4   11.5    7.6    3.2
 1848   -1.8    6.1    7.0   10.7   15.4   17.1   18.6   17.4   14.4   10.9    5.8    5.0
 1849    4.5    5.7    5.4    7.9   14.7   17.5   17.4   17.5   15.3   11.3    5.5    3.2
 1850   -0.8    6.7    4.0   10.6   12.3   17.5   18.2   16.8   13.4    8.1    8.0    3.7
 1851    4.5    3.4    6.5    9.8   11.2   16.9   17.1   18.3   12.6   10.6    3.0    2.1
 1852    4.4    3.8    5.3    8.8   14.3   16.0   21.8   18.0   14.3    9.2   10.2    7.4
 1853    5.7    0.5    3.2    8.8   13.0   16.1   17.8   17.4   14.1   11.4    5.0   -1.5
 1854    3.7    3.4    7.5   11.8   12.4   14.6   18.6   17.1   15.6   11.6    4.9    5.0
 1855   -0.1   -0.1    4.9    9.0   11.3   15.6   18.1   18.5   15.0   11.3    3.8    1.3
 1856    4.9    5.4    5.2   10.4   11.4   17.3   17.8   20.0   13.2   11.2    4.3    4.1
 1857    2.1    3.2    6.0    9.3   14.8   18.0   19.8   19.4   16.4   11.8    7.7    4.6
 1858    0.2    2.0    5.6   11.1   12.0   20.4   16.8   17.4   16.7   10.7    2.9    4.2
 1859    3.4    5.2    8.3   10.6   13.9   17.9   22.3   19.7   14.8   12.0    5.5    1.1
 1860    4.6    1.1    4.7    7.7   14.3   15.4   16.1   15.6   13.4   10.3    4.7    2.7
 1861   -1.4    5.0    7.5    9.3   13.0   18.4   17.8   19.4   15.1   12.5    5.9    3.6
 1862    2.7    5.0    9.1   11.8   15.5   15.6   17.9   16.6   15.5   11.9    4.9    5.7
 1863    4.8    4.5    6.7   10.9   13.6   16.6   18.0   19.3   13.0   11.3    6.8    5.4
 1864    0.9    2.0    7.7   10.7   14.2   15.6   18.5   16.4   14.7    9.7    4.7    0.2
 1865    2.7    2.0    2.3   14.9   16.3   17.1   19.3   17.3   18.8   11.8    7.3    1.9
 1866    5.4    5.9    5.5   11.4   11.5   18.3   18.2   16.1   14.6   10.6    7.2    5.1
 1867    1.8    7.5    5.1   10.7   14.4   15.8   17.0   18.4   15.0    9.2    4.9    1.2
 1868    0.7    5.2    6.7   10.3   17.7   18.3   20.9   18.2   17.0    9.8    4.5    8.4
 1869    3.1    7.6    3.2   12.5   13.8   14.3   19.8   16.8   15.8    9.5    7.1    2.7
 1870    3.3    0.8    4.6   10.9   14.4   17.8   20.7   16.9   13.8   10.6    5.7   -1.1
 1871   -1.3    5.9    7.7   11.1   12.7   14.1   18.5   19.5   15.8    9.0    2.7   -0.4
 1872    4.0    6.9    8.2   10.1   11.8   16.8   20.0   17.1   15.5    9.9    8.5    6.4
 1873    5.0    2.1    8.2    9.0   11.8   16.8   19.4   18.4   14.0   10.3    7.1    2.9
 1874    4.5    4.0    6.9   11.6   11.6   17.4   20.8   17.2   15.9   11.1    5.7    0.6
 1875    5.5    1.5    5.6   10.3   15.1   17.0   17.1   19.0   16.6    9.6    6.4    2.2
 1876    0.0    4.5    6.9   10.3   11.6   16.5   20.3   19.5   14.2   12.6    6.9    7.4
